Locations,Latitude,Longitude
laxmanpur,27.9,81.9
Bejapur,28,81.9
Khakhusm,28,82.08
Fattepur,28.02,81.77
Nirauli,28.05,80.73
Chakiya,28.05,81.45
Nepalgunj,28.05,81.6
Goltakuri,28.05,82.15
jamuni,28.08,81.5
Banke,28.1,81.82
Pauda,28.12,81.43
Udarapur,28.12,81.52
Kanchanpur,28.12,81.92
Laukahi,28.15,81.38
Baijnath Purwa,28.15,81.67
Sorhawa,28.2,81.52
Gulariya,28.22,81.32
Sarpanegarpa,28.22,82.38
Naubasta,28.23,81.67
Deudakala,28.27,81.45
Kavra,28.27,82.17
Chhinchu,28.28,81.75
Kalimati Kalche,28.3,81.93
Sinwang,28.3,82.35
bardiya,28.32,81.42
Bela,28.33,81.27
Kabhrechaur II,28.33,81.78
Kabhrechaur I,28.35,81.8
Bardiya NP,28.37,81.55
Lekhpokhara,28.37,82.25
Salyan,28.4,82.17
Rajapur,28.42,81.13
Gothi,28.42,81.5
NRASG,28.42,81.75
Vheriganga-6,28.42,81.78
Melelkuna,28.42,81.83
Majhkanda,28.42,82
Bheriganga,28.43,81.73
Jahelre Bazar,28.43,81.8
Kotmala,28.43,82.32
Meulapur,28.45,81.3
Dhajari Pipal,28.47,82.07
Jimala,28.5,82.2
Gola,28.52,81.22
Sattekada,28.52,81.58
Bheripur,28.52,81.65
Satakhani,28.52,81.73
Dhakadam,28.53,82.33
Guptipur,28.55,81.58
Subhakuna,28.55,81.65
Shree Rastriya Mavi,28.57,80.5
Uttarganga,28.57,81.57
Katkuwa,28.57,81.6
Ratu,28.57,81.73
Hariharpur,28.58,81.48
Surkhet Airport,28.58,81.63
Bame,28.58,82.05
Kalagaun,28.58,82.2
Parasan,28.6,80.48
Birendranagar-13,28.6,81.65
Chhiwang,28.62,82.4
Teduha,28.63,80.37
Laxmipur,28.63,80.38
Kiratpur,28.63,80.5
Chisapani,28.63,81.27
GaineKanda,28.63,81.33
Dharapani II,28.63,81.57
Punarbas,28.65,80.47
Taranga,28.65,81.4
Odaaltaal,28.65,81.5
Dharapani I,28.65,81.57
Lekhfarsa,28.65,81.58
Gahara,28.65,81.65
Sema,28.65,81.93
Bhoor,28.65,82.08
Kalika,28.67,80.43
Karari Park,28.67,80.67
Dhangad Gaun,28.67,81.55
piladi,28.67,81.72
Matela,28.67,81.83
Purtimkanda,28.67,82.27
Belauri,28.68,80.35
Baisi Bichawa,28.68,80.48
Dhangadhi funcity,28.68,80.55
Dhangadhi,28.68,80.62
Gurashe Bazar,28.68,81.62
Bhakunda Ground,28.7,80.4
Badhara,28.7,80.55
Kunathari,28.7,81.48
Boradadi,28.72,80.55
Awal Parajul,28.72,81.75
Rampur Bilaspur,28.73,80.3
Ram Mandir,28.73,80.53
Saule,28.73,81.52
Dasera,28.73,81.98
Khalanga,28.73,82.18
Aathbisdanda,28.73,82.38
Dhangadhi Airport,28.75,80.58
BelaDevipur,28.75,80.62
Pokharikanda,28.75,81.47
Beldandi,28.77,80.25
Bhairabstan,28.78,81.43
Malika,28.78,81.62
Pajaru,28.8,82.05
Bacchuwa,28.82,80.25
Lalmali temple,28.82,80.73
Rahaph,28.82,81.52
Room,28.82,81.82
Rajalake,28.83,80.63
Lahai,28.83,82.25
Dodhara,28.85,80.08
Balma,28.85,80.13
Bandevi Temple,28.85,80.57
Singghasan Temple,28.85,80.85
Shuklaphata,28.87,80.25
Godawari Temple,28.87,80.57
Khairala,28.87,80.75
badakhola,28.87,81.65
Jajarkot,28.87,82.17
Garkhakot,28.88,82.02
Katunje,28.9,80.85
Gautamkot,28.9,82.57
Budhetola,28.92,80.58
Gajari Jharna,28.92,80.63
Ramidanda,28.92,82.23
Dodhara Chadani,28.93,80.08
Shantitol,28.93,80.13
Florida Hostel,28.93,80.17
Daijee,28.93,80.27
Dhungachaina,28.93,81.27
Dailekh,28.93,81.63
Odahari,28.93,81.83
Laxmi Niwas,28.95,80.17
Bhimdatta Municipality,28.95,80.2
Ragda,28.95,82.43
Polkhari,28.97,80.25
Nigali,28.97,80.72
Daha,28.97,82.02
Gadda Chauki,28.98,80.12
Bhimdatta,28.98,80.15
Suda,28.98,80.22
Sahajpur,28.98,80.58
Barachhen,28.98,80.78
Walant,28.98,81.17
Lakhanora,28.98,81.53
DObala,29,80.52
Khandanda,29,80.62
Bp Nagar,29,80.73
barchain,29,80.78
Kihunain,29,80.95
Kusapani,29,81.63
Bhalulek,29,82.38
Siddhartha Lake,29.02,80.23
Bedkot Lake,29.02,80.3
Odanaku,29.02,81.93
Patal,29.03,80.78
Lipna temple,29.05,80.32
patal,29.05,80.77
Chalsa,29.05,81.38
Narkhu,29.05,82.52
Jhilmila tal,29.07,80.17
Chhatiwan,29.07,80.6
Laxmi nagar,29.07,80.67
Mugraha,29.07,81.67
Nayakwada,29.07,82.32
Jogbudha,29.08,80.33
Alital,29.08,80.48
Budar,29.08,80.55
Pipalkot,29.08,81.52
Dhirkamandau,29.1,80.92
Mangalsen,29.1,81.22
Saraswotinagar,29.13,80.72
Chapamandau,29.15,81.38
Sirsa,29.17,80.35
Mudhegaun,29.17,80.8
Gankhet,29.18,80.53
Thuwa,29.18,81.13
Gogan,29.2,80.42
Ladagada,29.22,81.02
Ramaroshan,29.22,81.47
Dipayal,29.25,80.92
ganespur,29.27,80.67
Bagarkot,29.28,80.47
Amargadi,29.3,80.57
Kalisthan,29.3,80.88
Jhikrana,29.32,81.02
Babala,29.32,81.23
Udayadev,29.37,80.35
Mahakali,29.38,80.27
Chapali,29.38,80.92
Kaipal,29.4,80.5
Gajari,29.45,80.7
patan,29.47,80.55
GIregada,29.48,80.37
Ramghat,29.48,81.72
Rauleswor,29.52,80.58
Sikharpur,29.52,80.67
Baltari,29.53,80.37
Maunali,29.53,80.55
Dasarathchanda,29.55,80.4
Shah lek,29.55,80.42
Durga Bhawani,29.55,80.45
Hatraj,29.55,80.5
Bijaypur,29.55,80.6
Deulek,29.57,80.52
Shree Kedar,29.58,80.43
Nwali,29.6,80.4
Sharmauli,29.63,80.48
Dilasaini,29.63,80.58
Baluwa gadel School,29.8,80.8
